"theta.1-1" "theta.2-1" "theta.3-1" "theta.4-1" "theta.5-1" "theta.6-1" "theta.1-2" "theta.2-2" "theta.3-2" "theta.4-2" "theta.5-2" "theta.6-2" "theta.1-3" "theta.2-3" "theta.3-3" "theta.4-3" "theta.5-3" "theta.6-3" "theta.1-4" "theta.2-4" "theta.3-4" "theta.4-4" "theta.5-4" "theta.6-4" "theta.1-5" "theta.2-5" "theta.3-5" "theta.4-5" "theta.5-5" "theta.6-5" "theta.1-6" "theta.2-6" "theta.3-6" "theta.4-6" "theta.5-6" "theta.6-6" "theta.1-7" "theta.2-7" "theta.3-7" "theta.4-7" "theta.5-7" "theta.6-7" "theta.1-8" "theta.2-8" "theta.3-8" "theta.4-8" "theta.5-8" "theta.6-8" "theta.1-9" "theta.2-9" "theta.3-9" "theta.4-9" "theta.5-9" "theta.6-9" "theta.1-10" "theta.2-10" "theta.3-10" "theta.4-10" "theta.5-10" "theta.6-10" "theta.1-11" "theta.2-11" "theta.3-11" "theta.4-11" "theta.5-11" "theta.6-11" "theta.1-12" "theta.2-12" "theta.3-12" "theta.4-12" "theta.5-12" "theta.6-12" "p.1" "p.2" "p.3" "p.4" "p.5" "p.6"
"1" 0.04628235 0.0008594998 0.001661513 0.0001116098 0.9931557 0.001168203 0.006990873 0.0007225432 0.002377722 0.00176884 0.03901571 0.9998288 0.8856233 0.0006152442 0.0007936764 0.00281233 0.003879187 0.002803828 0.1162566 0.9988858 0.003129809 0.9976831 0.01873563 0.0004197687 0.09570061 6.069969e-05 0.9977786 0.0005236722 0.008178954 0.001041999 0.3129479 0.3269363 0.3635463 0.5389857 0.5050575 0.3982384 0.7529205 0.4996022 0.5056083 0.5259791 0.4858498 0.5106241 0.06027688 0.6609428 0.8775834 0.9304294 0.00017204 0.81978 0.03773156 0.03808491 0.1883704 0.2959364 0.02103349 0.1203211 0.06878408 0.003982333 0.1101313 0.1937517 0.01561079 0.05014552 0.04553827 0.4060971 0.4797647 0.6082309 0.1625284 0.4844094 0.04377361 0.003872848 0.06912843 0.1675805 0.003608357 0.05671484 0.003719784 0.4120911 0.1833836 0.2144245 0.02755442 0.1588266
"2" 0.02879012 2.212355e-05 0.001108349 0.0008814183 0.9612934 0.000328849 0.186117 0.0006588761 0.002496787 0.001213939 0.01072427 0.9995763 0.9289379 5.166705e-05 0.003747994 0.0004924774 0.001797561 0.000970545 0.007417513 0.9991162 0.001350465 0.9998592 0.04135558 0.0005932156 0.03252599 0.001344901 0.9969952 0.001600495 0.001674811 0.001522079 0.3465806 0.3369881 0.3759339 0.4973844 0.5430161 0.4087766 0.5737308 0.4648634 0.5127625 0.5438948 0.3939799 0.5185352 0.391573 0.6320209 0.8626698 0.9351354 0.009315222 0.7784148 0.09590035 0.02820654 0.2124868 0.2746865 0.0007411641 0.1312696 0.231589 0.001390737 0.09515692 0.1996759 0.02244678 0.05471569 0.1227402 0.4039983 0.4807522 0.57738 0.2787292 0.4833985 0.07143844 0.007236662 0.08294934 0.1522973 0.0184565 0.0588972 0.004095791 0.4275176 0.1796955 0.2118787 0.01952403 0.1572883
"3" 0.1624064 0.0002525375 0.00397534 0.0009444677 0.9988504 0.008968815 0.05917435 0.001470555 0.0002501377 0.0009692299 0.006626778 0.9995708 0.9718321 0.0007076259 0.001361537 1.122323e-06 0.001601905 0.002998722 0.0164286 0.9993846 0.001507483 0.9994823 0.001124276 0.003204242 0.02721105 0.00194751 0.996449 0.00058198 0.008424359 0.005874992 0.4405053 0.3491825 0.4022003 0.5483934 0.4978919 0.4275153 0.7838558 0.4961076 0.5308768 0.5074694 0.4776585 0.5500703 0.102137 0.6491975 0.8978478 0.943902 0.01087084 0.8212115 0.05466359 0.0394631 0.190865 0.3004946 0.006185133 0.1387208 0.07292194 0.01198744 0.07704062 0.1800248 0.00045587 0.05968443 0.08858874 0.4256296 0.5110566 0.6135363 0.2556839 0.4533301 0.008104629 0.005556855 0.07286928 0.1767708 0.06393738 0.03489253 0.005920939 0.4471103 0.1807334 0.1903848 0.02362124 0.1522294
"4" 0.02790119 0.0007436666 0.0002390765 0.0006816263 0.9782552 0.003873903 0.04948565 0.0006881699 0.001100976 0.0003549063 0.02328851 0.9978778 0.6980477 0.00067065 0.001378759 0.002843885 0.0108 0.00113143 0.05249567 0.999889 0.002507964 0.9992028 0.0006362886 0.0009524015 0.3806487 0.0003240642 0.9993474 0.0010846 0.003622097 0.001726885 0.4707471 0.331549 0.3830457 0.6005411 0.5379687 0.4050834 0.7733416 0.4908299 0.511406 0.5131674 0.620477 0.5365835 0.01534523 0.6594322 0.888661 0.971074 0.04496477 0.84283 0.01314608 0.05244701 0.1939178 0.2876378 0.009817582 0.1344854 0.2107152 0.01682023 0.09494189 0.2097438 0.02519561 0.07141516 0.06774634 0.4355339 0.5141104 0.6402605 0.1944624 0.519116 0.0006151188 0.01865902 0.0823157 0.1631246 0.02124724 0.06192426 0.002842814 0.490276 0.1889869 0.1524597 0.01740329 0.1480312
"5" 0.01228632 0.0007361063 0.00111501 0.001724993 0.9930134 0.002079423 0.02663985 0.0001871897 7.215536e-05 0.000583696 0.02885402 0.9983272 0.9345136 0.0003839113 0.0006919774 0.001217912 0.02612317 0.0007699289 0.1820266 0.9998899 0.0004626458 0.9954798 0.01252778 0.002653141 0.03105353 0.0001764985 0.9997964 0.0009324965 0.008111229 0.003793555 0.6442911 0.3360174 0.3782215 0.5029467 0.4508197 0.3894056 0.8308664 0.4869704 0.5357822 0.523644 0.5586099 0.5407152 0.05523171 0.6676056 0.8932802 0.9281904 0.002146197 0.8335448 0.02753583 0.06324166 0.1881171 0.2771582 0.001389951 0.1419629 0.01478402 0.01389443 0.08327318 0.1676997 0.01057234 0.04697425 0.2345533 0.3986024 0.4918365 0.6160912 0.2636353 0.4732098 0.1023871 0.007141902 0.1043503 0.1880417 0.02284261 0.04145149 0.003614974 0.4772652 0.1918738 0.1563832 0.01619093 0.1546719
"6" 0.2362541 0.0004400921 0.002601594 0.0004443252 0.952084 0.0003735595 0.01972571 0.0006099176 0.001427437 0.001476656 0.004842913 0.9910557 0.9698618 0.0005566303 0.001923244 0.001455985 0.004180521 0.0006748006 0.006372541 0.9989291 0.001393562 0.9999476 0.02381279 0.000747365 0.0688276 0.003080758 0.9997962 0.002733326 0.006732571 0.0007227034 0.5176941 0.377427 0.3714199 0.521865 0.4599214 0.4284592 0.6819793 0.503127 0.5317851 0.5180858 0.4308217 0.5149919 0.07997424 0.6916565 0.9052027 0.9312627 0.02794803 0.7932 0.01039077 0.06020383 0.1676267 0.296364 0.009214227 0.1245015 0.01828172 0.02005845 0.0893035 0.2354557 0.005545804 0.04877298 0.002847249 0.4255757 0.486672 0.6545517 0.1989335 0.4745235 0.1772282 0.002601656 0.09069291 0.2418486 0.002250178 0.04819543 0.002884541 0.4849466 0.2002285 0.1329841 0.02426368 0.1546925
"7" 0.009091261 0.0001944752 0.004061697 0.001065046 0.9852253 0.002424738 0.07181287 0.0003620369 0.00183279 0.002785089 0.002942103 0.999177 0.8748556 0.0003986007 0.001235307 0.001286493 0.003656564 0.0004420982 0.04585153 0.9999352 0.00133343 0.9995036 0.008518204 0.002913589 0.03043557 0.0007395936 0.998965 0.0006439836 0.001292307 0.003401686 0.1777567 0.3663029 0.3827001 0.5136763 0.4250642 0.3860242 0.7796068 0.4888001 0.5117285 0.5301284 0.5920751 0.512843 0.04729091 0.6889652 0.8647228 0.920404 0.008488462 0.8108503 0.114168 0.05667327 0.1832524 0.2755271 0.006478861 0.131698 0.03021791 0.008941933 0.08059577 0.2192316 0.002977544 0.05624055 0.05277791 0.4340823 0.5246111 0.5591747 0.2159682 0.4593591 0.05210644 0.005952005 0.08227961 0.1932081 0.00325878 0.04892266 0.005792489 0.4484953 0.1892813 0.1806016 0.01704162 0.1587876
"8" 0.06338137 0.0004597025 0.0001059743 0.001080465 0.9579152 0.001137162 0.06861299 0.0002602515 0.001791287 0.001821221 0.0182262 0.999909 0.7625145 0.001155775 0.0005470279 0.0008946227 0.02294963 0.0005176766 0.1398021 0.9998495 0.0005184864 0.9981898 0.008381302 0.004427085 0.07867714 0.0007243462 0.9996403 0.001764972 0.0300251 0.002771997 0.3044595 0.3450395 0.3751483 0.4787203 0.4967676 0.3961198 0.6404079 0.5169548 0.495182 0.5130004 0.4760897 0.5431814 0.003039648 0.6690849 0.8677572 0.9372464 0.006230649 0.7965165 0.03174289 0.05672204 0.1862308 0.2661256 0.03151037 0.1499584 0.2406929 0.008318565 0.1047443 0.2143697 6.810501e-05 0.05080141 0.02218793 0.4309251 0.5182251 0.5947025 0.2547863 0.4989639 0.1270621 0.005773122 0.07594681 0.1724689 0.05098592 0.04262073 0.003816428 0.4716175 0.1812515 0.1753561 0.0164213 0.1515372
"9" 0.1865033 0.002127058 0.0009871325 0.002814553 0.9972288 3.359478e-05 0.03645955 0.00182085 0.00239999 0.001189885 0.000274028 0.9984143 0.8872822 0.0006255921 0.002637472 0.001205554 0.01698024 0.0003998975 0.07011849 0.998426 0.001821368 0.9980247 0.008271074 0.00158205 0.08161432 0.0004843752 0.9965106 0.0005486146 0.008992563 0.001508299 0.5409824 0.3422185 0.3864316 0.5358793 0.5096724 0.4105998 0.8742921 0.5204607 0.5107557 0.4689906 0.4696558 0.5145368 0.238959 0.666914 0.8725345 0.9252255 0.01215742 0.8287168 0.04588885 0.03730921 0.1817512 0.2574789 0.01473044 0.1450391 0.1025486 0.009462188 0.09399713 0.1535288 0.001723136 0.05843169 0.07328053 0.3905133 0.5252158 0.6386386 0.3793367 0.461876 0.001105085 0.007758803 0.07501215 0.1745668 0.01048824 0.04403656 0.004339746 0.4345499 0.1903704 0.2012192 0.01718031 0.1523405
"10" 0.09709681 0.0009670024 0.0003753088 0.0007705129 0.9988864 0.002892024 0.04036027 0.001771402 0.00068417 0.002950721 0.02266052 0.9997958 0.9164924 0.0009374845 0.0002711702 0.0005163918 0.01127649 0.0004102313 0.08101267 0.9991082 0.001072487 0.9997309 0.00335603 0.00135757 0.07194176 0.0003782917 0.9996433 0.0006990569 0.01582974 0.0004887605 0.3666912 0.352558 0.3459119 0.5320281 0.5155536 0.4207849 0.8578023 0.5037585 0.5198069 0.5169657 0.4055986 0.4956609 0.002688499 0.6894231 0.8795663 0.9467078 0.03524292 0.8420779 0.00364346 0.06424653 0.1633989 0.2884528 0.002367886 0.1078389 0.09635666 0.01226697 0.09904188 0.2350887 0.005731269 0.061936 0.1163637 0.4321355 0.5363898 0.5919883 0.2058932 0.4588637 0.02808874 0.01123378 0.09196794 0.2123985 0.01004025 0.04325807 0.003892523 0.5018325 0.1895382 0.1321234 0.01835114 0.1542623
