"STEPHENS" "ECR" "ECR-ITERATIVE-1"
"z.1" 4 4 4
"z.2" 3 3 3
"z.3" 4 4 4
"z.4" 4 4 4
"z.5" 3 3 3
"z.6" 4 4 4
"z.7" 4 4 4
"z.8" 2 2 2
"z.9" 4 4 4
"z.10" 6 6 6
"z.11" 4 4 4
"z.12" 4 4 4
"z.13" 3 3 3
"z.14" 4 4 4
"z.15" 4 4 4
"z.16" 2 2 2
"z.17" 6 6 6
"z.18" 3 3 3
"z.19" 3 3 3
"z.20" 4 4 4
"z.21" 3 3 3
"z.22" 4 4 4
"z.23" 3 3 3
"z.24" 4 4 4
"z.25" 4 4 4
"z.26" 3 3 3
"z.27" 3 3 3
"z.28" 6 6 6
"z.29" 4 4 4
"z.30" 4 4 4
"z.31" 4 4 4
"z.32" 4 4 4
"z.33" 4 4 4
"z.34" 4 4 4
"z.35" 4 4 4
"z.36" 4 4 4
"z.37" 6 6 6
"z.38" 4 4 4
"z.39" 4 4 4
"z.40" 3 3 3
"z.41" 4 4 4
"z.42" 4 4 4
"z.43" 4 4 4
"z.44" 3 3 3
"z.45" 6 6 6
"z.46" 4 4 4
"z.47" 4 4 4
"z.48" 4 4 4
"z.49" 3 3 3
"z.50" 6 6 6
"z.51" 4 4 4
"z.52" 4 4 4
"z.53" 3 3 3
"z.54" 4 4 4
"z.55" 4 4 4
"z.56" 4 4 4
"z.57" 4 4 4
"z.58" 3 3 3
"z.59" 6 6 6
"z.60" 4 4 4
"z.61" 6 6 6
"z.62" 4 4 4
"z.63" 4 4 4
"z.64" 3 3 3
"z.65" 4 4 4
"z.66" 4 4 4
"z.67" 4 4 4
"z.68" 2 2 2
"z.69" 3 3 3
"z.70" 4 4 4
"z.71" 4 4 4
"z.72" 4 4 4
"z.73" 4 4 4
"z.74" 4 4 4
"z.75" 4 4 4
"z.76" 3 3 3
"z.77" 4 4 4
"z.78" 4 4 4
"z.79" 3 3 3
"z.80" 4 4 4
"z.81" 6 6 6
"z.82" 6 6 6
"z.83" 6 6 6
"z.84" 4 4 4
"z.85" 4 4 4
"z.86" 4 4 4
"z.87" 3 3 3
"z.88" 4 4 4
"z.89" 6 6 6
"z.90" 4 4 4
"z.91" 4 4 4
"z.92" 3 3 3
"z.93" 4 4 4
"z.94" 6 6 6
"z.95" 3 3 3
"z.96" 4 4 4
"z.97" 3 3 3
"z.98" 4 4 4
"z.99" 4 4 4
"z.100" 4 4 4
"z.101" 4 4 4
"z.102" 6 6 6
"z.103" 3 3 3
"z.104" 6 6 6
"z.105" 4 4 4
"z.106" 4 4 4
"z.107" 4 4 4
"z.108" 4 4 4
"z.109" 3 3 3
"z.110" 6 6 6
"z.111" 4 4 4
"z.112" 3 3 3
"z.113" 6 6 6
"z.114" 4 4 4
"z.115" 4 4 4
"z.116" 3 3 3
"z.117" 4 4 4
"z.118" 4 4 4
"z.119" 3 3 3
"z.120" 4 4 4
"z.121" 6 6 6
"z.122" 4 4 4
"z.123" 4 4 4
"z.124" 3 3 3
"z.125" 3 3 3
"z.126" 3 3 3
"z.127" 4 4 4
"z.128" 4 4 4
"z.129" 4 4 4
"z.130" 3 3 3
"z.131" 3 3 3
"z.132" 4 4 4
"z.133" 4 4 4
"z.134" 4 4 4
"z.135" 3 3 3
"z.136" 3 3 3
"z.137" 4 4 4
"z.138" 6 6 6
"z.139" 3 3 3
"z.140" 3 3 3
"z.141" 3 3 3
"z.142" 4 4 4
"z.143" 3 3 3
"z.144" 3 3 3
"z.145" 3 3 3
"z.146" 4 4 4
"z.147" 3 3 3
"z.148" 4 4 4
"z.149" 4 4 4
"z.150" 4 4 4
"z.151" 4 4 4
"z.152" 4 4 4
"z.153" 3 3 3
"z.154" 6 6 6
"z.155" 4 4 4
"z.156" 4 4 4
"z.157" 4 4 4
"z.158" 3 3 3
"z.159" 4 4 4
"z.160" 4 4 4
"z.161" 4 4 4
"z.162" 4 4 4
"z.163" 4 4 4
"z.164" 3 3 3
"z.165" 4 4 4
"z.166" 3 3 3
"z.167" 3 3 3
"z.168" 6 6 6
"z.169" 4 4 4
"z.170" 4 4 4
"z.171" 3 3 3
"z.172" 4 4 4
"z.173" 6 6 6
"z.174" 4 4 4
"z.175" 4 4 4
"z.176" 3 3 3
"z.177" 4 4 4
"z.178" 3 3 3
"z.179" 4 4 4
"z.180" 3 3 3
"z.181" 6 6 6
"z.182" 4 4 4
"z.183" 4 4 4
"z.184" 6 6 6
"z.185" 6 6 6
"z.186" 4 4 4
"z.187" 4 4 4
"z.188" 3 3 3
"z.189" 3 3 3
"z.190" 4 4 4
"z.191" 3 3 3
"z.192" 4 4 4
"z.193" 3 3 3
"z.194" 3 3 3
"z.195" 3 3 3
"z.196" 4 4 4
"z.197" 4 4 4
"z.198" 4 4 4
"z.199" 4 4 4
"z.200" 4 4 4
"z.201" 4 4 4
"z.202" 3 3 3
"z.203" 4 4 4
"z.204" 2 2 2
"z.205" 2 2 2
"z.206" 3 3 3
"z.207" 2 2 2
"z.208" 3 3 3
"z.209" 4 4 4
"z.210" 2 2 2
"z.211" 2 2 2
"z.212" 2 2 2
"z.213" 2 2 2
"z.214" 2 2 2
"z.215" 2 2 2
"z.216" 6 6 6
"z.217" 3 3 3
"z.218" 4 4 4
"z.219" 2 2 2
"z.220" 2 2 2
"z.221" 2 2 2
"z.222" 2 2 2
"z.223" 6 6 6
"z.224" 2 2 2
"z.225" 2 2 2
"z.226" 3 3 3
"z.227" 2 2 2
"z.228" 2 2 2
"z.229" 2 2 2
"z.230" 2 2 2
"z.231" 2 2 2
"z.232" 6 6 6
"z.233" 2 2 2
"z.234" 6 6 6
"z.235" 3 3 3
"z.236" 3 3 3
"z.237" 2 2 2
"z.238" 2 2 2
"z.239" 2 2 2
"z.240" 2 2 2
"z.241" 2 2 2
"z.242" 3 3 3
"z.243" 2 2 2
"z.244" 2 2 2
"z.245" 4 4 4
"z.246" 3 3 3
"z.247" 3 3 3
"z.248" 2 2 2
"z.249" 2 2 2
"z.250" 6 6 6
"z.251" 2 2 2
"z.252" 4 4 4
"z.253" 2 2 2
"z.254" 2 2 2
"z.255" 2 2 2
"z.256" 4 4 4
"z.257" 3 3 3
"z.258" 2 2 2
"z.259" 2 2 2
"z.260" 6 6 6
"z.261" 2 2 2
"z.262" 2 2 2
"z.263" 2 2 2
"z.264" 4 4 4
"z.265" 6 6 6
"z.266" 3 3 3
"z.267" 2 2 2
"z.268" 2 2 2
"z.269" 6 6 6
"z.270" 2 2 2
"z.271" 6 6 6
"z.272" 3 3 3
"z.273" 2 2 2
"z.274" 2 2 2
"z.275" 2 2 2
"z.276" 2 2 2
"z.277" 4 4 4
"z.278" 2 2 2
"z.279" 6 6 6
"z.280" 3 3 3
"z.281" 2 2 2
"z.282" 3 3 3
"z.283" 3 3 3
"z.284" 2 2 2
"z.285" 2 2 2
"z.286" 3 3 3
"z.287" 3 3 3
"z.288" 2 2 2
"z.289" 2 2 2
"z.290" 2 2 2
"z.291" 2 2 2
"z.292" 2 2 2
"z.293" 6 6 6
"z.294" 6 6 6
"z.295" 2 2 2
"z.296" 2 2 2
"z.297" 6 6 6
"z.298" 2 2 2
"z.299" 3 3 3
"z.300" 2 2 2
"z.301" 6 6 6
"z.302" 2 2 2
"z.303" 2 2 2
"z.304" 2 2 2
"z.305" 2 2 2
"z.306" 3 3 3
"z.307" 2 2 2
"z.308" 2 2 2
"z.309" 4 4 4
"z.310" 3 3 3
"z.311" 2 2 2
"z.312" 4 4 4
"z.313" 5 5 5
"z.314" 6 6 6
"z.315" 6 6 6
"z.316" 2 2 2
"z.317" 2 2 2
"z.318" 3 3 3
"z.319" 6 6 6
"z.320" 5 5 5
"z.321" 2 2 2
"z.322" 2 2 2
"z.323" 2 2 2
"z.324" 2 2 2
"z.325" 2 2 2
"z.326" 2 2 2
"z.327" 4 4 4
"z.328" 2 2 2
"z.329" 2 2 2
"z.330" 2 2 2
"z.331" 4 4 4
"z.332" 6 6 6
"z.333" 6 6 6
"z.334" 3 3 3
"z.335" 6 6 6
"z.336" 2 2 2
"z.337" 3 3 3
"z.338" 2 2 2
"z.339" 4 4 4
"z.340" 2 2 2
"z.341" 2 2 2
"z.342" 3 3 3
"z.343" 6 6 6
"z.344" 3 3 3
"z.345" 5 5 5
"z.346" 2 2 2
"z.347" 2 2 2
"z.348" 2 2 2
"z.349" 4 4 4
"z.350" 4 4 4
"z.351" 2 2 2
"z.352" 3 3 3
"z.353" 2 2 2
"z.354" 2 2 2
"z.355" 4 4 4
"z.356" 3 3 3
"z.357" 2 2 2
"z.358" 2 2 2
"z.359" 3 3 3
"z.360" 2 2 2
"z.361" 6 6 6
"z.362" 2 2 2
"z.363" 2 2 2
"z.364" 6 6 6
"z.365" 4 4 4
"z.366" 3 3 3
"z.367" 2 2 2
"z.368" 2 2 2
"z.369" 3 3 3
"z.370" 2 2 2
"z.371" 2 2 2
"z.372" 2 2 2
"z.373" 2 2 2
"z.374" 5 5 5
"z.375" 2 2 2
"z.376" 2 2 2
"z.377" 2 2 2
"z.378" 2 2 2
"z.379" 6 6 6
"z.380" 4 4 4
"z.381" 2 2 2
"z.382" 2 2 2
"z.383" 2 2 2
"z.384" 2 2 2
"z.385" 2 2 2
"z.386" 2 2 2
"z.387" 6 6 6
"z.388" 2 2 2
"z.389" 3 3 3
"z.390" 3 3 3
"z.391" 2 2 2
"z.392" 3 3 3
"z.393" 2 2 2
"z.394" 2 2 2
"z.395" 6 6 6
"z.396" 2 2 2
"z.397" 6 6 6
"z.398" 2 2 2
"z.399" 3 3 3
"z.400" 2 2 2
"z.401" 2 2 2
"z.402" 2 2 2
"z.403" 2 2 2
"z.404" 2 2 2
"z.405" 6 6 6
"z.406" 3 3 3
"z.407" 2 2 2
"z.408" 2 2 2
"z.409" 2 2 2
"z.410" 2 2 2
"z.411" 2 2 2
"z.412" 3 3 3
"z.413" 2 2 2
"z.414" 2 2 2
"z.415" 6 6 6
"z.416" 4 4 4
"z.417" 3 3 3
"z.418" 4 4 4
"z.419" 2 2 2
"z.420" 3 3 3
"z.421" 2 2 2
"z.422" 3 3 3
"z.423" 2 2 2
"z.424" 2 2 2
"z.425" 2 2 2
"z.426" 2 2 2
"z.427" 4 4 4
"z.428" 2 2 2
"z.429" 2 2 2
"z.430" 3 3 3
"z.431" 2 2 2
"z.432" 4 4 4
"z.433" 3 3 3
"z.434" 2 2 2
"z.435" 2 2 2
"z.436" 2 2 2
"z.437" 2 2 2
"z.438" 2 2 2
"z.439" 4 4 4
"z.440" 2 2 2
"z.441" 3 3 3
"z.442" 5 5 5
"z.443" 4 4 4
"z.444" 3 3 3
"z.445" 2 2 2
"z.446" 6 6 6
"z.447" 1 1 1
"z.448" 2 2 2
"z.449" 2 2 2
"z.450" 2 2 2
"z.451" 6 6 6
"z.452" 3 3 3
"z.453" 2 2 2
"z.454" 6 6 6
"z.455" 6 6 6
"z.456" 2 2 2
"z.457" 2 2 2
"z.458" 2 2 2
"z.459" 2 2 2
"z.460" 2 2 2
"z.461" 3 3 3
"z.462" 2 2 2
"z.463" 4 4 4
"z.464" 6 6 6
"z.465" 6 6 6
"z.466" 3 3 3
"z.467" 3 3 3
"z.468" 2 2 2
"z.469" 6 6 6
"z.470" 2 2 2
"z.471" 4 4 4
"z.472" 2 2 2
"z.473" 3 3 3
"z.474" 2 2 2
"z.475" 5 5 5
"z.476" 2 2 2
"z.477" 3 3 3
"z.478" 3 3 3
"z.479" 3 3 3
"z.480" 2 2 2
"z.481" 2 2 2
"z.482" 6 6 6
"z.483" 3 3 3
"z.484" 3 3 3
"z.485" 2 2 2
"z.486" 2 2 2
"z.487" 4 4 4
"z.488" 2 2 2
"z.489" 3 3 3
"z.490" 3 3 3
"z.491" 3 3 3
"z.492" 2 2 2
"z.493" 2 2 2
"z.494" 6 6 6
"z.495" 3 3 3
"z.496" 2 2 2
"z.497" 3 3 3
"z.498" 4 4 4
"z.499" 2 2 2
"z.500" 6 6 6
"z.501" 5 5 5
"z.502" 6 6 6
"z.503" 2 2 2
"z.504" 2 2 2
"z.505" 2 2 2
"z.506" 6 6 6
"z.507" 2 2 2
