"theta.1-1" "theta.2-1" "theta.3-1" "theta.1-2" "theta.2-2" "theta.3-2" "theta.1-3" "theta.2-3" "theta.3-3" "theta.1-4" "theta.2-4" "theta.3-4" "theta.1-5" "theta.2-5" "theta.3-5" "theta.1-6" "theta.2-6" "theta.3-6" "theta.1-7" "theta.2-7" "theta.3-7" "theta.1-8" "theta.2-8" "theta.3-8" "theta.1-9" "theta.2-9" "theta.3-9" "theta.1-10" "theta.2-10" "theta.3-10" "theta.1-11" "theta.2-11" "theta.3-11" "theta.1-12" "theta.2-12" "theta.3-12" "p.1" "p.2" "p.3"
"1" 3.170279e-05 0.001330111 0.1229235 0.004245017 0.000473123 0.8606266 0.0005513257 0.0002006082 0.02998127 0.000194466 0.9989302 0.0001159287 0.9970761 0.0001750695 0.001433759 0.382374 0.3832996 0.4184723 0.5447451 0.505798 0.5195453 0.8796015 0.7382525 0.7437511 0.1565563 0.1136694 0.08972121 0.09957285 0.06413732 0.04670337 0.5034365 0.4722469 0.4232865 0.1076127 0.05178654 0.0276726 0.183544 0.6373514 0.1791046
"2" 0.0001551018 2.091122e-05 0.1294136 0.0001024232 0.001511297 0.8605739 0.001873749 0.0001705788 0.01623965 3.122573e-05 0.9995941 0.007947407 0.9993023 6.535679e-05 0.0004885481 0.3869013 0.4035253 0.4264066 0.4962921 0.5124269 0.5253955 0.891814 0.7362525 0.7344864 0.1947948 0.1035086 0.1193954 0.09166751 0.06010205 0.05295794 0.5210741 0.4669149 0.4228348 0.09643507 0.05113651 0.03090111 0.2022142 0.6193237 0.1784622
"3" 0.0002417575 0.0001700641 0.102308 0.0003046998 0.0003948923 0.8737333 0.003074694 8.978961e-05 0.02011927 0.002622196 0.9990672 4.491601e-06 0.9998983 0.0003107458 4.164631e-05 0.3524367 0.4024891 0.4136633 0.5293458 0.4960285 0.5622295 0.8751789 0.7297613 0.7258858 0.2080786 0.1075115 0.1261489 0.0986788 0.06533061 0.03636529 0.4945427 0.4698442 0.4531498 0.08859354 0.05085078 0.03302187 0.17832 0.6513049 0.1703751
"4" 0.0001387972 0.0004425631 0.1162345 0.001499084 0.0005365486 0.8430429 0.0008662636 0.0004422033 0.0229384 0.002924632 0.9998536 0.0002447313 0.9999244 0.000210094 0.003452991 0.3670879 0.4102745 0.4181442 0.5223317 0.4975208 0.5281391 0.8601866 0.7450376 0.7292227 0.2039667 0.1171546 0.1011981 0.1201225 0.05646843 0.06890976 0.5004407 0.4954783 0.458503 0.0989482 0.05114415 0.04634633 0.1876596 0.6296763 0.1826642
"5" 0.0002188705 2.498428e-05 0.1097907 0.0004220656 0.0003761718 0.8704454 0.001195402 0.001434083 0.02131415 0.000227173 0.9998708 0.003321439 0.999012 0.0009020993 0.00129954 0.3622819 0.3950752 0.3839065 0.5039626 0.4997556 0.5216775 0.8744141 0.7316703 0.7118957 0.2001583 0.1116313 0.1363084 0.0877472 0.05471609 0.05758291 0.5037186 0.4744227 0.4344016 0.08644906 0.0574307 0.0370866 0.1764178 0.6444791 0.1791031
"6" 0.0008621605 0.0006459678 0.1288996 0.0002203487 0.0005842504 0.8443321 0.001092511 0.001661522 0.03118313 0.0006167572 0.9994286 0.002300811 0.998989 0.0007406908 0.002831379 0.3572116 0.4014429 0.4093666 0.5123819 0.517381 0.5288015 0.8670674 0.7398327 0.7225707 0.1746647 0.109904 0.1155 0.1018583 0.06210001 0.05120213 0.4892954 0.4688672 0.446164 0.0967344 0.04255772 0.04158887 0.184344 0.6425803 0.1730758
"7" 0.0002758992 0.001634735 0.1203416 0.004424734 8.115699e-06 0.8750939 0.003023787 3.5174e-05 0.02018519 0.0007858137 0.9973995 0.004632506 0.9999477 0.0003384863 0.0006708685 0.3916666 0.3966928 0.3727612 0.5024783 0.5074053 0.5368096 0.8825398 0.7304736 0.7234196 0.1797453 0.1069626 0.1024896 0.08251449 0.06079656 0.04013063 0.4835938 0.4562723 0.4243885 0.08070548 0.05169277 0.03903762 0.184975 0.6362475 0.1787775
"8" 0.0001785885 9.425325e-05 0.1252098 0.003246005 0.0005019781 0.8373084 0.000458315 0.0002913886 0.02486095 0.007160902 0.9998262 0.002328084 0.9995186 0.0005781376 0.00407364 0.3777913 0.3929009 0.4153652 0.513944 0.5013269 0.5525365 0.8807812 0.7321649 0.7253068 0.1919291 0.1096426 0.09608055 0.09082731 0.05756591 0.0628218 0.4825492 0.4792625 0.4297484 0.07845793 0.05013908 0.03992811 0.1921867 0.6328999 0.1749135
"9" 0.0003307813 0.0007408738 0.1136253 0.001252917 0.0009229875 0.8684126 0.003925914 1.261358e-05 0.03739374 0.003402167 0.9996341 0.002743075 0.999754 0.0007457876 0.00204223 0.4173202 0.4051165 0.4381214 0.5233197 0.5073118 0.539345 0.8970002 0.7423513 0.7079108 0.1905733 0.1089917 0.1136777 0.1099637 0.06590599 0.05517603 0.4783676 0.4646624 0.4169005 0.08641205 0.05159998 0.03586343 0.1916979 0.6334782 0.174824
"10" 0.0002225534 0.0003619626 0.1007892 0.001290708 0.000632313 0.8781639 0.009234905 0.0002641202 0.03371155 0.001926211 0.9998213 0.001285196 0.9997142 0.0003435099 0.002290663 0.348576 0.3912244 0.4080318 0.5358908 0.507565 0.5573063 0.8876084 0.7375896 0.7211873 0.2066638 0.1062012 0.09938639 0.09224799 0.06560344 0.05359552 0.5003458 0.4805411 0.4587105 0.08864183 0.05131099 0.03590563 0.1787321 0.6409577 0.1803102
"11" 0.001295771 0.0001280913 0.1392651 0.0006261715 0.0002006666 0.8821145 0.002563353 0.0004284532 0.03191589 0.00450936 0.9999175 0.004840612 0.99983 0.0002144058 0.001659159 0.3973472 0.3809549 0.4044411 0.5214555 0.4798346 0.5200312 0.8639287 0.7367576 0.7195487 0.198993 0.1073966 0.1200896 0.08901062 0.06493585 0.05451929 0.4771228 0.4602309 0.3955684 0.08482492 0.05570038 0.03407555 0.1737552 0.6377742 0.1884707
"12" 0.002876173 0.0004655019 0.1026368 0.001588158 2.794801e-05 0.8501582 0.0007253449 0.0001341756 0.02339206 0.002961961 0.9995796 0.001355169 0.9999234 0.0001268659 0.001649135 0.3773503 0.3969686 0.4564428 0.4998466 0.5005874 0.547204 0.8759365 0.751245 0.7129755 0.2101125 0.1151404 0.1129604 0.09240422 0.05931341 0.05391958 0.4751335 0.4777601 0.4347556 0.08380304 0.05415358 0.061285 0.170839 0.6571932 0.1719679
"13" 0.0001007608 0.0002538628 0.1201277 0.001239337 0.0001424588 0.8919759 0.0006542384 9.271093e-05 0.0359067 0.0007991142 0.999248 0.0003193272 0.9998963 4.383844e-05 0.007481954 0.3633546 0.392795 0.4113738 0.5468105 0.4898008 0.4914667 0.8572646 0.757642 0.7103711 0.1755026 0.1207976 0.1207626 0.07628719 0.06845618 0.02983925 0.5222324 0.4698223 0.4335048 0.09906612 0.05391206 0.03869793 0.1843057 0.6459739 0.1697203
